문헌번호,오류유형,상세,관련값
KR 10-2635013 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3087972 A1 / EP 03087972 A1 / JP 6657441 B2 / JP 06657441 B2
KR 10-2635013 B1,E14 명칭전각표기,발명의 명칭에 전각 영숫자가 있어 반각 검색어와 매칭되지 않음,ＪＡＫ 저해제에 대한 국소 제형
KR 10-2649868 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7132198 B2 / JP 07132198 B2
KR 10-2635400 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3824626 A1 / EP 03824626 A1
KR 10-2635881 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3749793 B1 / EP 03749793 B1
KR 10-2634993 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3564278 A1 / EP 03564278 A1 / JP 7075354 B2 / JP 07075354 B2
KR 20-0497874 Y1,E10 공개일결손,공개번호는 있는데 문헌일(공개일)이 없음,publication_number=20-2023-0000689
KR 10-2623784 B1,E14 명칭전각표기,발명의 명칭에 전각 영숫자가 있어 반각 검색어와 매칭되지 않음,발광 시간의 제어가 가능한 ＬＥＤ 픽셀 패키지
KR 10-2624069 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7348248 B2 / EP 3982490 A1 / EP 03982490 A1 / JP 07348248 B2
KR 10-2650076 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3922279 A1 / EP 03922279 A1
KR 10-2635152 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3676269 B1 / EP 03676269 B1
KR 10-2664940 B1,E14 명칭전각표기,발명의 명칭에 전각 영숫자가 있어 반각 검색어와 매칭되지 않음,ＬＦＳ 컨테이너선의 ＬＮＧ 연료 탱크 주변 공기를 이용한 냉동컨테이너 화물 구역의 공조 시
KR 10-2730751 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3700179 A1 / EP 03700179 A1
KR 10-2636427 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7250442 B2 / JP 07250442 B2
KR 10-2730215 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4124490 A1 / EP 04124490 A1
KR 10-2648725 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7230229 B2 / EP 3975879 A1 / EP 03975879 A1 / JP 07230229 B2
KR 10-2650251 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3783990 A1 / EP 03783990 A1
KR 10-2702017 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7489821 B2 / JP 07489821 B2
KR 10-2730554 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,US 09882154 B2 / US 9882154 B2
KR 10-2689602 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3583988 B1 / EP 03583988 B1
KR 10-2623923 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3503157 A1 / EP 03503157 A1
KR 10-2730370 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4286254 A1 / EP 04286254 A1
KR 10-2622804 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6665354 B2 / JP 06665354 B2
KR 10-2717932 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7184453 B2 / JP 07184453 B2
KR 10-2637047 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3925678 A1 / EP 03925678 A1
KR 20-0497883 Y1,E10 공개일결손,공개번호는 있는데 문헌일(공개일)이 없음,publication_number=20-2021-0000256
KR 10-2649609 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3257059 A1 / EP 03257059 A1
KR 10-2649621 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3347326 A1 / EP 03347326 A1
KR 10-2621982 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4102865 A1 / EP 04102865 A1
KR 10-2731080 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4195681 A1 / EP 04195681 A1
KR 10-2649194 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3908849 A1 / EP 03908849 A1
KR 10-2649461 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7173014 B2 / JP 07173014 B2
KR 10-2635449 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7181681 B2 / JP 07181681 B2
KR 10-2663158 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4280306 A1 / EP 04280306 A1
KR 10-2689504 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -9),claim_count=10 claims=20 삭제=1 실질=19
KR 10-2648993 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -2),claim_count=10 claims=20 삭제=8 실질=12
KR 10-2648993 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3871195 A1 / EP 03871195 A1
KR 10-2730170 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 2513894 A1 / EP 02513894 A1 / US 08599177 B2 / JP 5211255 B2
KR 10-2635635 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7045333 B2 / JP 07045333 B2
KR 10-2689912 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7402316 B2 / EP 4024430 A1 / EP 04024430 A1 / JP 07402316 B2
KR 10-2635994 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7064778 B2 / JP 07064778 B2
KR 10-2636765 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3692583 A1 / EP 03692583 A1
KR 10-2702813 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7451591 B2 / JP 07451591 B2
KR 10-2635891 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4088417 A1 / EP 04088417 A1
KR 20-0497867 Y1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 3239523 U / JP 03239523 U
KR 10-2703722 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3686718 A1 / EP 03686718 A1
KR 10-2624133 B1,E9 섹션파싱누락,technology_field 가 비었는데 전문에 해당 표제가 있음,표제 매칭='기술\s*분야'
KR 10-2624133 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3651410 A1 / EP 03651410 A1
KR 10-2649181 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3720819 A1 / EP 03720819 A1
KR 10-2718019 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4376102 A3 / EP 04376102 A3
KR 10-2650215 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3312701 A1 / EP 03312701 A1
KR 10-2650255 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3758886 A1 / EP 03758886 A1
KR 10-2635540 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3603810 A1 / EP 03603810 A1
KR 10-2649379 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 3238566 U / EP 3959945 A1 / EP 03959945 A1 / JP 03238566 U
KR 10-2636594 B1,E13 패밀리중복,동일 문헌이 표기만 달라 6쌍 중복 적재,EP 3665227 A1 / EP 03665227 A1 / EP 3665228 A1 / EP 03665228 A1
KR 10-2664889 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4243100 A1 / EP 04243100 A1
KR 10-2649843 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3596190 A1 / EP 03596190 A1
KR 10-2703986 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7394937 B2 / JP 07394937 B2
KR 10-2621809 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -10),claim_count=10 claims=20 삭제=0 실질=20
KR 10-2649656 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3258484 A1 / EP 03258484 A1
KR 10-2662871 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 3792145 A1 / EP 03792145 A1 / JP 7411118 B2 / JP 7399318 B2
KR 10-2702860 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -6),claim_count=10 claims=20 삭제=4 실질=16
KR 10-2702860 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3361745 A1 / EP 03361745 A1
